acquisition_channel,cancel_year_month,duration_month,fiber_or_adsl,has_retention,offer,recruit_year_month,sub_offer,total_bill,churn
phone,2019-07,42,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1810,N
online,2018-07,18,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,670,N
phone,2018-03,26,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1030,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2470,N
phone,2019-02,37,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2060,N
online,N/A,N/A,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2890,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3820,N
outgoing call - promo,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2230,N
phone,2019-02,25,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3030,N
pos,2021-02,61,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3120,N
outgoing call - promo,2018-05,16,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,440,N
online,2017-07,6,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,50,N
phone,2018-01,24,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,940,N
outgoing call - promo,2019-03,26,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,730,N
phone,2018-03,26,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1250,N
outgoing call - promo,2017-10,9,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,130,N
outgoing call - promo,2018-01,12,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,170,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3020,N
phone,2020-04,39,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3110,N
online,2018-10,21,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1190,N
outgoing call - promo,2019-11,34,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1040,N
outgoing call - promo,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2230,N
online,2018-05,28,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1150,N
phone,2016-12,11,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,520,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3220,N
